RadiomicsFeature,RadiomicsValue
mask_necrosis__fla__follow_up_3__original_shape_Elongation,0.6711841076871168
mask_necrosis__fla__follow_up_3__original_shape_Flatness,0.5782724325905594
mask_necrosis__fla__follow_up_3__original_shape_LeastAxisLength,3.480584008281434
mask_necrosis__fla__follow_up_3__original_shape_MajorAxisLength,6.018934696037689
mask_necrosis__fla__follow_up_3__original_shape_Maximum2DDiameterColumn,5.830951894845301
mask_necrosis__fla__follow_up_3__original_shape_Maximum2DDiameterRow,5.830951894845301
mask_necrosis__fla__follow_up_3__original_shape_Maximum2DDiameterSlice,5.0
mask_necrosis__fla__follow_up_3__original_shape_Maximum3DDiameter,6.164414002968976
mask_necrosis__fla__follow_up_3__original_shape_MeshVolume,36.16666666666666
mask_necrosis__fla__follow_up_3__original_shape_MinorAxisLength,4.039813313187084
mask_necrosis__fla__follow_up_3__original_shape_Sphericity,0.7163836990310406
mask_necrosis__fla__follow_up_3__original_shape_SurfaceArea,73.82624025116921
mask_necrosis__fla__follow_up_3__original_shape_SurfaceVolumeRatio,2.041278532290393
mask_necrosis__fla__follow_up_3__original_shape_VoxelVolume,42.0
mask_necrosis__fla__follow_up_3__original_firstorder_10Percentile,556.6019592829105
mask_necrosis__fla__follow_up_3__original_firstorder_90Percentile,789.4040605574216
mask_necrosis__fla__follow_up_3__original_firstorder_Energy,19393133.05297769
mask_necrosis__fla__follow_up_3__original_firstorder_Entropy,4.850534387012956
mask_necrosis__fla__follow_up_3__original_firstorder_InterquartileRange,158.08100816872798
mask_necrosis__fla__follow_up_3__original_firstorder_Kurtosis,1.8041752046392936
mask_necrosis__fla__follow_up_3__original_firstorder_MeanAbsoluteDeviation,83.93611591414661
mask_necrosis__fla__follow_up_3__original_firstorder_Mean,673.090650642525
mask_necrosis__fla__follow_up_3__original_firstorder_Median,696.6592071866272
mask_necrosis__fla__follow_up_3__original_firstorder_Range,338.9005448836332
mask_necrosis__fla__follow_up_3__original_firstorder_RobustMeanAbsoluteDeviation,65.89222287295961
mask_necrosis__fla__follow_up_3__original_firstorder_RootMeanSquared,679.5154620508171
mask_necrosis__fla__follow_up_3__original_firstorder_Skewness,-0.0112318974721851
mask_necrosis__fla__follow_up_3__original_firstorder_TotalEnergy,19393133.05297769
mask_necrosis__fla__follow_up_3__original_firstorder_Uniformity,0.0374149659863945
mask_necrosis__fla__follow_up_3__original_firstorder_Variance,8690.239183757914
mask_necrosis__fla__follow_up_3__original_glcm_Autocorrelation,1342.1362288488233
mask_necrosis__fla__follow_up_3__original_glcm_ClusterProminence,1860414.364963513
mask_necrosis__fla__follow_up_3__original_glcm_ClusterShade,5120.584033337307
mask_necrosis__fla__follow_up_3__original_glcm_ClusterTendency,940.0145154467772
mask_necrosis__fla__follow_up_3__original_glcm_Contrast,417.3099369615488
mask_necrosis__fla__follow_up_3__original_glcm_Correlation,0.3980732866246633
mask_necrosis__fla__follow_up_3__original_glcm_DifferenceAverage,16.115624262472338
mask_necrosis__fla__follow_up_3__original_glcm_DifferenceEntropy,3.3516822666500667
mask_necrosis__fla__follow_up_3__original_glcm_DifferenceVariance,91.92265858039816
mask_necrosis__fla__follow_up_3__original_glcm_Id,0.1328080255023321
mask_necrosis__fla__follow_up_3__original_glcm_Idm,0.0668384130058323
mask_necrosis__fla__follow_up_3__original_glcm_Idmn,0.928102304972274
mask_necrosis__fla__follow_up_3__original_glcm_Idn,0.8272727764537382
mask_necrosis__fla__follow_up_3__original_glcm_Imc1,-0.8751502266338915
mask_necrosis__fla__follow_up_3__original_glcm_Imc2,0.9997665105828184
mask_necrosis__fla__follow_up_3__original_glcm_InverseVariance,0.0918057225573543
mask_necrosis__fla__follow_up_3__original_glcm_JointAverage,34.776979691295466
mask_necrosis__fla__follow_up_3__original_glcm_JointEnergy,0.0321576265177336
mask_necrosis__fla__follow_up_3__original_glcm_JointEntropy,5.0353751965702624
mask_necrosis__fla__follow_up_3__original_glcm_MCC,0.9999999999999538
mask_necrosis__fla__follow_up_3__original_glcm_MaximumProbability,0.0391640372229471
mask_necrosis__fla__follow_up_3__original_glcm_SumAverage,69.55395938259093
mask_necrosis__fla__follow_up_3__original_glcm_SumEntropy,3.865972727997768
mask_necrosis__fla__follow_up_3__original_glcm_SumSquares,339.3311131020816
mask_necrosis__fla__follow_up_3__original_glrlm_GrayLevelNonUniformity,1.5585633878316807
mask_necrosis__fla__follow_up_3__original_glrlm_GrayLevelNonUniformityNormalized,0.0372415748892335
mask_necrosis__fla__follow_up_3__original_glrlm_GrayLevelVariance,349.5194433834486
mask_necrosis__fla__follow_up_3__original_glrlm_HighGrayLevelRunEmphasis,1654.4947288483877
mask_necrosis__fla__follow_up_3__original_glrlm_LongRunEmphasis,1.0112570356472796
mask_necrosis__fla__follow_up_3__original_glrlm_LongRunHighGrayLevelEmphasis,1659.9431341016707
mask_necrosis__fla__follow_up_3__original_glrlm_LongRunLowGrayLevelEmphasis,0.0264871372634898
mask_necrosis__fla__follow_up_3__original_glrlm_LowGrayLevelRunEmphasis,0.0264638789253756
mask_necrosis__fla__follow_up_3__original_glrlm_RunEntropy,4.860994883530067
mask_necrosis__fla__follow_up_3__original_glrlm_RunLengthNonUniformity,41.54596622889306
mask_necrosis__fla__follow_up_3__original_glrlm_RunLengthNonUniformityNormalized,0.9926783507985172
mask_necrosis__fla__follow_up_3__original_glrlm_RunPercentage,0.9963369963369964
mask_necrosis__fla__follow_up_3__original_glrlm_RunVariance,0.0036608246007413
